week_end,ticker,open,high,low,close,volume,return,rolling_volatility,abnormal_volume,drawdown,google_trends
2020-01-03,AMC,72.55487636443185,75.53658430324968,71.85914770641553,72.75365447998047,676390,-0.0187667678944232,,,-0.0187667678944232,0.0
2020-01-10,AMC,72.05793014517495,72.55488138755547,63.112801722778734,64.30548858642578,2466360,-0.1161201585534011,,,-0.1327077263843889,
2020-01-17,AMC,64.6036570154436,73.94634137454935,63.80853204979637,72.3561019897461,1557750,0.1251932545773351,,,-0.024128583980674,
2020-01-24,AMC,72.15731527436176,72.75365521886913,65.59756393664523,66.98902893066406,886040,-0.0741758180926139,,,-0.0965146446171052,
2020-01-31,AMC,64.70304616870169,68.47988079633286,62.11890138755418,64.80243682861328,1022040,-0.0326410478992609,0.5451928864492784,0.5615643171609661,-0.126005353378439,
2020-02-07,AMC,64.60365591123123,70.86524949085002,63.51036808546282,65.1006088256836,1035370,0.0046012466762461,0.5442720464199386,0.7359126905645413,-0.1219838884156146,0.0
2020-02-14,AMC,65.10060980097394,71.46158367892134,64.30548481605678,70.56707000732422,811030,0.0839694325482867,0.5198845912064397,0.7532234348526201,-0.0482573737576207,
2020-02-21,AMC,70.46768486506394,77.32561610072968,69.87134491465574,74.1451187133789,1113470,0.0507042265703154,0.5756977111798601,1.3616524257385936,-0.038659858061514,
2020-02-28,AMC,70.9646354744579,72.35609956001615,50.88780544078118,62.218292236328125,2841860,-0.1608578782260237,0.6897546968366169,2.2333907080017337,-0.1932989935472434,
2020-03-06,AMC,62.71524089651666,62.8146334129209,43.70000076293945,45.29999923706055,2336510,-0.2719183119813967,0.8512996652182819,1.3754907496071933,-0.4126557694955707,1.0
2020-03-13,AMC,39.5,42.900001525878906,26.5,32.20000076293945,2536670,-0.2891831941445996,1.335981417546021,1.2311674255129836,-0.5825058501352436,
2020-03-20,AMC,26.399999618530273,36.0,19.5,31.899999618530273,3830570,-0.0093168055062428,2.0028917036532743,1.4444348682034744,-0.5863955619295277,
2020-03-27,AMC,32.29999923706055,39.79999923706055,27.100000381469727,36.0,2828860,0.1285266592632838,2.070689374690064,0.9496424744166714,-0.5332363652478621,
2020-04-03,AMC,34.5,35.0,20.0,22.700000762939453,3005690,-0.369444423251682,2.1906710783206393,1.0181152112165388,-0.7056795870837244,2.0
2020-04-10,AMC,25.0,37.29999923706055,24.0,26.0,3786790,0.1453744108435537,2.341513585441263,1.4121128862781585,-0.6628929304567893,
2020-04-17,AMC,23.399999618530273,38.5,19.5,32.0,7600070,0.2307692307692306,2.2453193967142653,1.853211122465975,-0.5850989913314331,
2020-04-24,AMC,32.20000076293945,34.400001525878906,30.200000762939453,30.5,2908670,-0.046875,2.1769106768052,0.6426042858342564,-0.604547476112772,
2020-05-01,AMC,31.899999618530273,55.29999923706055,30.600000381469727,45.70000076293945,7241310,0.4983606807521132,2.2327678453515225,1.3832695124045404,-0.4074694871031918,2.0
2020-05-08,AMC,41.099998474121094,47.79999923706055,38.099998474121094,41.0,2388860,-0.1028446539272476,1.9438369239837732,0.4429481348792053,-0.4684080826433985,
2020-05-15,AMC,64.0,64.0999984741211,40.79999923706055,45.20000076293945,14607230,0.1024390429985233,1.791099431544652,2.0180455833446307,-0.4139523153636382,
2020-05-22,AMC,48.0,49.79999923706055,45.0,45.79999923706055,2142000,0.0132743023007435,1.7869137402365391,0.3227071016826054,-0.4061729412351244,
2020-05-29,AMC,48.0,56.79999923706055,47.0,51.29999923706055,2846970,0.1200873382449645,1.4292240757959986,0.5765476589926161,-0.3348618303702144,
2020-06-05,AMC,50.29999923706055,61.5,50.0,59.099998474121094,4395810,0.152046771014874,1.365158648548541,0.7515775693118233,-0.2337297193992621,1.0
2020-06-12,AMC,62.70000076293945,73.5,50.0,58.900001525878906,4783630,-0.0033840432048364,1.2187974831513129,1.2170440713092332,-0.2363228111353971,
2020-06-19,AMC,54.20000076293945,62.5,53.0,55.20000076293945,3324120,-0.0628183474887309,1.2352843743716295,0.8844205435864521,-0.284295750154711,
2020-06-26,AMC,54.79999923706055,54.79999923706055,41.5,41.79999923706055,3206860,-0.2427536474759523,1.173607459253294,0.8215264892767096,-0.4580355673186952,
2020-07-03,AMC,39.099998474121094,46.900001525878906,37.5,45.29999923706055,2179790,0.0837320589445571,1.1968624210240442,0.702092502500231,-0.4126557694955707,1.0
2020-07-10,AMC,46.20000076293945,46.400001525878906,40.79999923706055,46.0,2127590,0.0154525557335281,0.9034957298666018,0.6573401384230604,-0.4035798000389349,
2020-07-17,AMC,47.599998474121094,48.20000076293945,41.0,42.70000076293945,1668610,-0.0717391138491422,0.7860379765127351,0.6074764997598177,-0.44636645666587,
2020-07-24,AMC,42.099998474121094,42.400001525878906,39.599998474121094,40.0,1401450,-0.0632318668547392,0.6576517312758718,0.648413227381289,-0.4813737391642912,
2020-07-31,AMC,40.099998474121094,43.400001525878906,38.099998474121094,40.400001525878906,2098050,0.0100000381469727,0.6314288120056076,1.1252156338494053,-0.4761874567719124,
2020-08-07,AMC,40.5,52.599998474121094,38.599998474121094,47.5,3766640,0.1757425298504769,0.7463248048511817,1.843339594703453,-0.3841313152575958,1.0
2020-08-14,AMC,46.5,57.70000076293945,43.5,55.400001525878906,4861590,0.1663158215974507,0.8433317455620661,1.8178298316107755,-0.2817026089585216,
2020-08-21,AMC,57.20000076293945,58.5,51.29999923706055,51.900001525878906,4062350,-0.0631768935667815,0.925208915861918,1.1843792034809932,-0.3270824067816461,
2020-08-28,AMC,53.5,71.0,49.400001525878906,63.0,6001840,0.2138727966816398,1.0351982905023571,1.3996218856631248,-0.1831636391837587,
2020-09-04,AMC,63.29999923706055,77.0999984741211,57.599998474121094,70.19999694824219,8235580,0.1142856658451141,1.150051693483833,1.4450419099681435,-0.0898109518013747,1.0
